width,quality,repeat,frame_idx,payload_bytes,ok,client_e2e_ms,recv_ms,modal_ms,total_ms,network_ms,num_boxes,error
224,0.6,0,41,4396,True,24.1,1,23,23,1.1,1,
224,0.6,0,42,4268,True,24.3,1,23,23,1.3,1,
224,0.6,0,43,4259,True,23.9,1,23,23,0.9,2,
224,0.6,0,44,4281,True,24.0,1,23,23,1.0,1,
224,0.6,0,45,4376,True,23.0,1,22,22,1.0,0,
224,0.6,0,46,4302,True,24.1,1,23,23,1.1,1,
224,0.6,0,47,4411,True,24.4,1,23,23,1.4,2,
224,0.6,0,48,4400,True,24.1,1,23,23,1.1,1,
224,0.6,0,49,4499,True,24.2,1,23,23,1.2,0,
224,0.6,0,50,4630,True,22.7,1,21,21,1.7,0,
224,0.6,0,51,4746,True,22.4,1,21,21,1.4,0,
224,0.6,0,52,5053,True,23.2,1,22,22,1.2,0,
224,0.6,0,53,4452,True,22.6,1,21,21,1.6,0,
224,0.6,0,54,4329,True,23.4,1,22,22,1.4,0,
224,0.6,0,55,5419,True,22.6,1,21,21,1.6,0,
224,0.6,0,56,5297,True,22.7,1,21,21,1.7,0,
224,0.6,0,57,5270,True,23.2,1,22,22,1.2,0,
224,0.6,0,58,5697,True,22.6,1,21,21,1.6,0,
224,0.6,0,59,5331,True,23.4,1,22,22,1.4,0,
224,0.6,0,60,5836,True,22.5,1,21,21,1.5,0,
224,0.6,0,61,5623,True,22.6,1,21,21,1.6,0,
224,0.6,0,62,5167,True,23.4,1,22,22,1.4,0,
224,0.6,0,63,4846,True,22.7,1,21,21,1.7,0,
224,0.6,0,64,4957,True,23.8,1,22,22,1.8,0,
224,0.85,0,5,8074,True,22.7,1,21,21,1.7,0,
224,0.85,0,6,8725,True,22.7,1,21,21,1.7,0,
224,0.85,0,7,9368,True,22.7,1,21,21,1.7,0,
224,0.85,0,8,9872,True,24.1,1,22,23,1.1,0,
224,0.85,0,9,9406,True,23.3,1,22,22,1.3,0,
224,0.85,0,10,9929,True,22.7,1,21,21,1.7,0,
224,0.85,0,11,10189,True,23.1,1,22,22,1.1,0,
224,0.85,0,12,9266,True,22.6,1,21,21,1.6,0,
224,0.85,0,13,9911,True,24.5,1,23,23,1.5,0,
224,0.85,0,14,9496,True,23.0,1,21,21,2.0,0,
224,0.85,0,15,10096,True,22.7,1,21,21,1.7,0,
224,0.85,0,16,10148,True,22.9,1,21,21,1.9,0,
224,0.85,0,17,9226,True,24.1,1,23,23,1.1,1,
224,0.85,0,18,9892,True,24.2,1,23,23,1.2,0,
224,0.85,0,19,9260,True,22.7,1,21,21,1.7,0,
224,0.85,0,20,9986,True,22.9,1,21,21,1.9,0,
224,0.85,0,21,9675,True,22.8,1,21,21,1.8,0,
224,0.85,0,22,9242,True,22.8,1,21,21,1.8,0,
224,0.85,0,23,9919,True,24.4,1,23,23,1.4,0,
224,0.85,0,24,9196,True,22.9,1,21,21,1.9,0,
224,0.85,0,25,9813,True,22.7,1,21,21,1.7,0,
224,0.85,0,26,9683,True,23.0,1,21,21,2.0,0,
224,0.85,0,27,9021,True,22.7,1,21,21,1.7,0,
224,0.85,0,28,9484,True,23.4,1,22,22,1.4,0,
224,0.85,0,29,8874,True,23.2,1,22,22,1.2,0,
224,0.85,0,30,8925,True,23.2,1,22,22,1.2,0,
224,0.85,0,31,8317,True,23.2,1,22,22,1.2,0,
224,0.85,0,32,8943,True,24.0,1,23,23,1.0,1,
224,0.85,0,33,7947,True,25.4,1,24,24,1.4,1,
224,0.85,0,34,7966,True,24.4,1,23,23,1.4,1,
224,0.85,0,35,7745,True,23.8,1,22,22,1.8,1,
224,0.85,0,36,7696,True,25.0,1,23,24,1.0,1,
